KP,DP,time,completion,yes
6.67e-10,1.12e-15,77.4827033,2024-07-22 17:20:22,1
6.67e-10,2.23e-15,78.4978764,2024-07-22 17:21:41,1
6.67e-10,3.34e-15,78.6001308,2024-07-22 17:22:59,1
6.67e-10,4.45e-15,79.2973511,2024-07-22 17:24:19,1
6.67e-10,5.56e-15,78.152343,2024-07-22 17:25:37,1
6.67e-10,6.67e-15,78.4637183,2024-07-22 17:26:55,1
6.67e-10,7.78e-15,79.8168109,2024-07-22 17:28:15,1
6.67e-10,8.89e-15,78.7247529,2024-07-22 17:29:34,1
6.67e-10,1e-14,79.4689601,2024-07-22 17:30:53,1
7.78e-10,1e-17,91.3297734,2024-07-22 17:32:25,1
7.78e-10,1.12e-15,80.1493712,2024-07-22 17:33:45,1
7.78e-10,2.23e-15,80.2863819,2024-07-22 17:35:05,1
7.78e-10,3.34e-15,80.3814274,2024-07-22 17:36:26,1
7.78e-10,4.45e-15,81.1366719,2024-07-22 17:37:47,1
7.78e-10,5.56e-15,80.9355403,2024-07-22 17:39:08,1
7.78e-10,6.67e-15,80.9074532,2024-07-22 17:40:28,1
7.78e-10,7.78e-15,81.0106064,2024-07-22 17:41:50,1
7.78e-10,8.89e-15,81.3940479,2024-07-22 17:43:11,1
7.78e-10,1e-14,81.1944792,2024-07-22 17:44:32,1
8.89e-10,1e-17,94.0839219,2024-07-22 17:46:06,1
8.89e-10,1.12e-15,84.4777069,2024-07-22 17:47:31,1
8.89e-10,2.23e-15,81.1862669,2024-07-22 17:48:52,1
8.89e-10,3.34e-15,81.809482,2024-07-22 17:50:14,1
8.89e-10,4.45e-15,82.7901576,2024-07-22 17:51:36,1
8.89e-10,5.56e-15,82.9271928,2024-07-22 17:52:59,1
8.89e-10,6.67e-15,82.6548661,2024-07-22 17:54:22,1
8.89e-10,7.78e-15,81.989117,2024-07-22 17:55:44,1
8.89e-10,8.89e-15,82.9548181,2024-07-22 17:57:07,1
8.89e-10,1e-14,84.0288773,2024-07-22 17:58:31,1
1e-09,1e-17,97.0266014,2024-07-22 18:00:08,1
1e-09,1.12e-15,83.1593556,2024-07-22 18:01:31,1
1e-09,2.23e-15,82.9639643,2024-07-22 18:02:54,1
1e-09,3.34e-15,83.0479823,2024-07-22 18:04:17,1
1e-09,4.45e-15,83.6556153,2024-07-22 18:05:41,1
1e-09,5.56e-15,85.8864238,2024-07-22 18:07:07,1
1e-09,6.67e-15,84.0953088,2024-07-22 18:08:31,1
1e-09,7.78e-15,85.55425,2024-07-22 18:09:56,1
1e-09,8.89e-15,84.3717567,2024-07-22 18:11:21,1
1e-09,1e-14,84.7805989,2024-07-22 18:12:46,1
