KP,DP,time,completion,yes
6.67e-10,4.45e-15,39.7868332,2024-07-23 02:53:42,1
6.67e-10,5.56e-15,40.09127,2024-07-23 02:54:22,1
6.67e-10,6.67e-15,39.8669185,2024-07-23 02:55:02,1
6.67e-10,7.78e-15,40.1790306,2024-07-23 02:55:42,1
6.67e-10,8.89e-15,38.6161333,2024-07-23 02:56:21,1
6.67e-10,1e-14,40.5926244,2024-07-23 02:57:01,1
7.78e-10,1e-17,30.0483353,2024-07-23 02:57:31,1
7.78e-10,1.12e-15,37.8319941,2024-07-23 02:58:09,1
7.78e-10,2.23e-15,40.1785851,2024-07-23 02:58:49,1
7.78e-10,3.34e-15,40.0078671,2024-07-23 02:59:29,1
7.78e-10,4.45e-15,39.8720895,2024-07-23 03:00:09,1
7.78e-10,5.56e-15,40.2115267,2024-07-23 03:00:49,1
7.78e-10,6.67e-15,40.4829112,2024-07-23 03:01:30,1
7.78e-10,7.78e-15,40.0042161,2024-07-23 03:02:10,1
7.78e-10,8.89e-15,39.4023063,2024-07-23 03:02:49,1
7.78e-10,1e-14,40.3393074,2024-07-23 03:03:30,1
8.89e-10,1e-17,30.2197296,2024-07-23 03:04:00,1
8.89e-10,1.12e-15,37.7922288,2024-07-23 03:04:38,1
8.89e-10,2.23e-15,40.3635079,2024-07-23 03:05:18,1
8.89e-10,3.34e-15,40.4395385,2024-07-23 03:05:58,1
8.89e-10,4.45e-15,39.3931835,2024-07-23 03:06:38,1
8.89e-10,5.56e-15,39.9584629,2024-07-23 03:07:18,1
8.89e-10,6.67e-15,40.116665,2024-07-23 03:07:58,1
8.89e-10,7.78e-15,40.4673641,2024-07-23 03:08:38,1
8.89e-10,8.89e-15,40.166311,2024-07-23 03:09:19,1
8.89e-10,1e-14,41.0122698,2024-07-23 03:10:00,1
1e-09,1e-17,30.520095,2024-07-23 03:10:30,1
1e-09,1.12e-15,37.8119903,2024-07-23 03:11:08,1
1e-09,2.23e-15,39.9721426,2024-07-23 03:11:48,1
1e-09,3.34e-15,39.4640808,2024-07-23 03:12:27,1
1e-09,4.45e-15,41.307374,2024-07-23 03:13:09,1
1e-09,5.56e-15,40.997503,2024-07-23 03:13:50,1
1e-09,6.67e-15,41.8955715,2024-07-23 03:14:31,1
1e-09,7.78e-15,41.0878764,2024-07-23 03:15:13,1
1e-09,8.89e-15,41.6555229,2024-07-23 03:15:54,1
1e-09,1e-14,39.8844263,2024-07-23 03:16:34,1
