KN,DN,KP,DP,time,completion,yes
3.4e-11,1e-15,1e-12,3.4e-14,0.0003562,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-12,6.7e-14,0.0003459,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-12,1e-13,0.0003419,2024-07-24 03:06:04,1
3.4e-11,1e-15,3.4e-11,1e-15,0.0003575,2024-07-24 03:06:04,1
3.4e-11,1e-15,3.4e-11,3.4e-14,0.0003541,2024-07-24 03:06:04,1
3.4e-11,1e-15,3.4e-11,6.7e-14,0.0003666,2024-07-24 03:06:04,1
3.4e-11,1e-15,3.4e-11,1e-13,0.0003506,2024-07-24 03:06:04,1
3.4e-11,1e-15,6.7e-11,1e-15,0.0003568,2024-07-24 03:06:04,1
3.4e-11,1e-15,6.7e-11,3.4e-14,0.0004391,2024-07-24 03:06:04,1
3.4e-11,1e-15,6.7e-11,6.7e-14,0.0004588,2024-07-24 03:06:04,1
3.4e-11,1e-15,6.7e-11,1e-13,0.0003611,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-10,1e-15,0.0003449,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-10,3.4e-14,0.0003472,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-10,6.7e-14,0.000786,2024-07-24 03:06:04,1
3.4e-11,1e-15,1e-10,1e-13,0.0004177,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-12,1e-15,0.0004485,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-12,3.4e-14,0.0004027,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-12,6.7e-14,0.0003848,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-12,1e-13,0.0006765,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,3.4e-11,1e-15,0.0004627,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,3.4e-11,3.4e-14,0.0004282,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,3.4e-11,6.7e-14,0.0005476,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,3.4e-11,1e-13,0.0004233,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,6.7e-11,1e-15,0.0003939,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,6.7e-11,3.4e-14,0.0004579,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,6.7e-11,6.7e-14,0.0004293,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,6.7e-11,1e-13,0.0003864,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-10,1e-15,0.0003661,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-10,3.4e-14,0.0005676,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-10,6.7e-14,0.0004385,2024-07-24 03:06:04,1
3.4e-11,3.4e-14,1e-10,1e-13,0.0004404,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-12,1e-15,0.0003923,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-12,3.4e-14,0.0003836,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-12,6.7e-14,0.0003765,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-12,1e-13,0.0003914,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,3.4e-11,1e-15,0.0003749,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,3.4e-11,3.4e-14,0.0003661,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,3.4e-11,6.7e-14,0.000413,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,3.4e-11,1e-13,0.0004164,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,6.7e-11,1e-15,0.0010229,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,6.7e-11,3.4e-14,0.0004047,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,6.7e-11,6.7e-14,0.000406,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,6.7e-11,1e-13,0.0003857,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-10,1e-15,0.0005033,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-10,3.4e-14,0.0004253,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-10,6.7e-14,0.000426,2024-07-24 03:06:04,1
3.4e-11,6.7e-14,1e-10,1e-13,0.0004272,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-12,1e-15,0.0003735,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-12,3.4e-14,0.0003606,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-12,6.7e-14,0.0003779,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-12,1e-13,0.0004944,2024-07-24 03:06:04,1
3.4e-11,1e-13,3.4e-11,1e-15,0.0004511,2024-07-24 03:06:04,1
3.4e-11,1e-13,3.4e-11,3.4e-14,0.0003988,2024-07-24 03:06:04,1
3.4e-11,1e-13,3.4e-11,6.7e-14,0.0004289,2024-07-24 03:06:04,1
3.4e-11,1e-13,3.4e-11,1e-13,0.0004168,2024-07-24 03:06:04,1
3.4e-11,1e-13,6.7e-11,1e-15,0.0005335,2024-07-24 03:06:04,1
3.4e-11,1e-13,6.7e-11,3.4e-14,0.0004652,2024-07-24 03:06:04,1
3.4e-11,1e-13,6.7e-11,6.7e-14,0.0003704,2024-07-24 03:06:04,1
3.4e-11,1e-13,6.7e-11,1e-13,0.0003613,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-10,1e-15,0.0003725,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-10,3.4e-14,0.0003909,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-10,6.7e-14,0.0003991,2024-07-24 03:06:04,1
3.4e-11,1e-13,1e-10,1e-13,0.0003956,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-12,1e-15,0.0004247,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-12,3.4e-14,0.000404,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-12,6.7e-14,0.0003758,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-12,1e-13,0.0004027,2024-07-24 03:06:04,1
6.7e-11,1e-15,3.4e-11,1e-15,0.0003747,2024-07-24 03:06:04,1
6.7e-11,1e-15,3.4e-11,3.4e-14,0.0004029,2024-07-24 03:06:04,1
6.7e-11,1e-15,3.4e-11,6.7e-14,0.0003873,2024-07-24 03:06:04,1
6.7e-11,1e-15,3.4e-11,1e-13,0.0004899,2024-07-24 03:06:04,1
6.7e-11,1e-15,6.7e-11,1e-15,0.0003869,2024-07-24 03:06:04,1
6.7e-11,1e-15,6.7e-11,3.4e-14,0.0003635,2024-07-24 03:06:04,1
6.7e-11,1e-15,6.7e-11,6.7e-14,0.0003893,2024-07-24 03:06:04,1
6.7e-11,1e-15,6.7e-11,1e-13,0.0004227,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-10,1e-15,0.0003717,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-10,3.4e-14,0.0003766,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-10,6.7e-14,0.0003858,2024-07-24 03:06:04,1
6.7e-11,1e-15,1e-10,1e-13,0.0003713,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-12,1e-15,0.0004157,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-12,3.4e-14,0.0003714,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-12,6.7e-14,0.0004269,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-12,1e-13,0.00039,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,3.4e-11,1e-15,0.0003741,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,3.4e-11,3.4e-14,0.0003737,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,3.4e-11,6.7e-14,0.001201,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,3.4e-11,1e-13,0.0004234,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,6.7e-11,1e-15,0.0003868,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,6.7e-11,3.4e-14,0.0003712,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,6.7e-11,6.7e-14,0.0003765,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,6.7e-11,1e-13,0.0003672,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-10,1e-15,0.0003618,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-10,3.4e-14,0.0003623,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-10,6.7e-14,0.0003712,2024-07-24 03:06:04,1
6.7e-11,3.4e-14,1e-10,1e-13,0.0003683,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-12,1e-15,0.0003537,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-12,3.4e-14,0.0003835,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-12,6.7e-14,0.0003989,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-12,1e-13,0.0003931,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,3.4e-11,1e-15,0.0003656,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,3.4e-11,3.4e-14,0.0003764,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,3.4e-11,6.7e-14,0.0003593,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,3.4e-11,1e-13,0.0003511,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,6.7e-11,1e-15,0.0003648,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,6.7e-11,3.4e-14,0.0003539,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,6.7e-11,6.7e-14,0.0003713,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,6.7e-11,1e-13,0.0003557,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-10,1e-15,0.000354,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-10,3.4e-14,0.0003475,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-10,6.7e-14,0.0004496,2024-07-24 03:06:04,1
6.7e-11,6.7e-14,1e-10,1e-13,0.0006783,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-12,1e-15,0.0005164,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-12,3.4e-14,0.0004294,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-12,6.7e-14,0.000377,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-12,1e-13,0.0005065,2024-07-24 03:06:04,1
6.7e-11,1e-13,3.4e-11,1e-15,0.0004141,2024-07-24 03:06:04,1
6.7e-11,1e-13,3.4e-11,3.4e-14,0.0003856,2024-07-24 03:06:04,1
6.7e-11,1e-13,3.4e-11,6.7e-14,0.0003964,2024-07-24 03:06:04,1
6.7e-11,1e-13,3.4e-11,1e-13,0.0003745,2024-07-24 03:06:04,1
6.7e-11,1e-13,6.7e-11,1e-15,0.0003817,2024-07-24 03:06:04,1
6.7e-11,1e-13,6.7e-11,3.4e-14,0.0003666,2024-07-24 03:06:04,1
6.7e-11,1e-13,6.7e-11,6.7e-14,0.0008548,2024-07-24 03:06:04,1
6.7e-11,1e-13,6.7e-11,1e-13,0.0004332,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-10,1e-15,0.000389,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-10,3.4e-14,0.0003943,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-10,6.7e-14,0.0006772,2024-07-24 03:06:04,1
6.7e-11,1e-13,1e-10,1e-13,0.0005166,2024-07-24 03:06:04,1
1e-10,1e-15,1e-12,1e-15,0.0004308,2024-07-24 03:06:04,1
1e-10,1e-15,1e-12,3.4e-14,0.0004088,2024-07-24 03:06:04,1
1e-10,1e-15,1e-12,6.7e-14,0.0004209,2024-07-24 03:06:04,1
1e-10,1e-15,1e-12,1e-13,0.0003914,2024-07-24 03:06:04,1
1e-10,1e-15,3.4e-11,1e-15,0.0005245,2024-07-24 03:06:04,1
1e-10,1e-15,3.4e-11,3.4e-14,0.0003994,2024-07-24 03:06:04,1
1e-10,1e-15,3.4e-11,6.7e-14,0.0005012,2024-07-24 03:06:04,1
1e-10,1e-15,3.4e-11,1e-13,0.0004393,2024-07-24 03:06:04,1
1e-10,1e-15,6.7e-11,1e-15,0.0003944,2024-07-24 03:06:04,1
1e-10,1e-15,6.7e-11,3.4e-14,0.0003799,2024-07-24 03:06:04,1
1e-10,1e-15,6.7e-11,6.7e-14,0.0003802,2024-07-24 03:06:04,1
1e-10,1e-15,6.7e-11,1e-13,0.0004048,2024-07-24 03:06:04,1
1e-10,1e-15,1e-10,1e-15,0.0009112,2024-07-24 03:06:04,1
1e-10,1e-15,1e-10,3.4e-14,0.0004572,2024-07-24 03:06:04,1
1e-10,1e-15,1e-10,6.7e-14,0.0004715,2024-07-24 03:06:04,1
1e-10,1e-15,1e-10,1e-13,0.000718,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-12,1e-15,0.0006031,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-12,3.4e-14,0.00052,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-12,6.7e-14,0.0004488,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-12,1e-13,0.0007363,2024-07-24 03:06:04,1
1e-10,3.4e-14,3.4e-11,1e-15,0.0005908,2024-07-24 03:06:04,1
1e-10,3.4e-14,3.4e-11,3.4e-14,0.0004875,2024-07-24 03:06:04,1
1e-10,3.4e-14,3.4e-11,6.7e-14,0.0006437,2024-07-24 03:06:04,1
1e-10,3.4e-14,3.4e-11,1e-13,0.000838,2024-07-24 03:06:04,1
1e-10,3.4e-14,6.7e-11,1e-15,0.0010485,2024-07-24 03:06:04,1
1e-10,3.4e-14,6.7e-11,3.4e-14,0.0007942,2024-07-24 03:06:04,1
1e-10,3.4e-14,6.7e-11,6.7e-14,0.0008358,2024-07-24 03:06:04,1
1e-10,3.4e-14,6.7e-11,1e-13,0.0006392,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-10,1e-15,0.0011369,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-10,3.4e-14,0.0006526,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-10,6.7e-14,0.0007206,2024-07-24 03:06:04,1
1e-10,3.4e-14,1e-10,1e-13,0.0005301,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-12,1e-15,0.0005086,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-12,3.4e-14,0.0004457,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-12,6.7e-14,0.000687,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-12,1e-13,0.0013163,2024-07-24 03:06:04,1
1e-10,6.7e-14,3.4e-11,1e-15,0.0007293,2024-07-24 03:06:04,1
1e-10,6.7e-14,3.4e-11,3.4e-14,0.0004487,2024-07-24 03:06:04,1
1e-10,6.7e-14,3.4e-11,6.7e-14,0.0005712,2024-07-24 03:06:04,1
1e-10,6.7e-14,3.4e-11,1e-13,0.0004163,2024-07-24 03:06:04,1
1e-10,6.7e-14,6.7e-11,1e-15,0.0005562,2024-07-24 03:06:04,1
1e-10,6.7e-14,6.7e-11,3.4e-14,0.0005905,2024-07-24 03:06:04,1
1e-10,6.7e-14,6.7e-11,6.7e-14,0.0006129,2024-07-24 03:06:04,1
1e-10,6.7e-14,6.7e-11,1e-13,0.0008854,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-10,1e-15,0.0005578,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-10,3.4e-14,0.0006946,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-10,6.7e-14,0.0008122,2024-07-24 03:06:04,1
1e-10,6.7e-14,1e-10,1e-13,0.0006338,2024-07-24 03:06:04,1
1e-10,1e-13,1e-12,1e-15,0.0006027,2024-07-24 03:06:04,1
1e-10,1e-13,1e-12,3.4e-14,0.000756,2024-07-24 03:06:04,1
1e-10,1e-13,1e-12,6.7e-14,0.0010362,2024-07-24 03:06:04,1
1e-10,1e-13,1e-12,1e-13,0.0008263,2024-07-24 03:06:04,1
1e-10,1e-13,3.4e-11,1e-15,0.0007575,2024-07-24 03:06:04,1
1e-10,1e-13,3.4e-11,3.4e-14,0.0005805,2024-07-24 03:06:04,1
1e-10,1e-13,3.4e-11,6.7e-14,0.0004818,2024-07-24 03:06:04,1
1e-10,1e-13,3.4e-11,1e-13,0.0004312,2024-07-24 03:06:04,1
1e-10,1e-13,6.7e-11,1e-15,0.000917,2024-07-24 03:06:04,1
1e-10,1e-13,6.7e-11,3.4e-14,0.0009262,2024-07-24 03:06:04,1
1e-10,1e-13,6.7e-11,6.7e-14,0.0008406,2024-07-24 03:06:04,1
1e-10,1e-13,6.7e-11,1e-13,0.0006255,2024-07-24 03:06:04,1
1e-10,1e-13,1e-10,1e-15,0.0004885,2024-07-24 03:06:04,1
1e-10,1e-13,1e-10,3.4e-14,0.000443,2024-07-24 03:06:04,1
1e-10,1e-13,1e-10,6.7e-14,0.0011356,2024-07-24 03:06:04,1
1e-10,1e-13,1e-10,1e-13,0.0006125,2024-07-24 03:06:04,1
