KP,DP,time,completion,yes
3.4e-11,1e-13,4.2003766,2024-07-24 02:38:53,1
4.5e-11,1e-15,4.0558978,2024-07-24 02:38:57,1
4.5e-11,1.2e-14,5.2705637,2024-07-24 02:39:02,1
4.5e-11,2.3e-14,4.2023598,2024-07-24 02:39:06,1
4.5e-11,3.4e-14,4.3584529,2024-07-24 02:39:11,1
4.5e-11,4.5e-14,4.3680432,2024-07-24 02:39:15,1
4.5e-11,5.6e-14,4.4205216,2024-07-24 02:39:19,1
4.5e-11,6.7e-14,4.2479294,2024-07-24 02:39:24,1
4.5e-11,7.8e-14,4.4088254,2024-07-24 02:39:28,1
4.5e-11,8.9e-14,4.285135,2024-07-24 02:39:32,1
4.5e-11,1e-13,4.44493,2024-07-24 02:39:37,1
5.6e-11,1e-15,4.8255473,2024-07-24 02:39:42,1
5.6e-11,1.2e-14,5.0768211,2024-07-24 02:39:47,1
5.6e-11,2.3e-14,4.6294448,2024-07-24 02:39:51,1
5.6e-11,3.4e-14,4.572702,2024-07-24 02:39:56,1
5.6e-11,4.5e-14,4.4759216,2024-07-24 02:40:00,1
5.6e-11,5.6e-14,4.6116565,2024-07-24 02:40:05,1
5.6e-11,6.7e-14,4.6625573,2024-07-24 02:40:10,1
5.6e-11,7.8e-14,4.5254944,2024-07-24 02:40:14,1
5.6e-11,8.9e-14,4.1666183,2024-07-24 02:40:18,1
5.6e-11,1e-13,4.5320458,2024-07-24 02:40:23,1
6.7e-11,1e-15,4.6925617,2024-07-24 02:40:28,1
6.7e-11,1.2e-14,5.0760729,2024-07-24 02:40:33,1
6.7e-11,2.3e-14,4.3224955,2024-07-24 02:40:37,1
6.7e-11,3.4e-14,4.3544337,2024-07-24 02:40:41,1
6.7e-11,4.5e-14,4.3944609,2024-07-24 02:40:46,1
6.7e-11,5.6e-14,4.1361541,2024-07-24 02:40:50,1
6.7e-11,6.7e-14,4.2336375,2024-07-24 02:40:54,1
6.7e-11,7.8e-14,4.6902274,2024-07-24 02:40:59,1
6.7e-11,8.9e-14,4.5608703,2024-07-24 02:41:03,1
6.7e-11,1e-13,4.4573764,2024-07-24 02:41:08,1
7.8e-11,1e-15,4.6023447,2024-07-24 02:41:12,1
7.8e-11,1.2e-14,5.1668546,2024-07-24 02:41:18,1
7.8e-11,2.3e-14,4.539695,2024-07-24 02:41:22,1
7.8e-11,3.4e-14,4.4524346,2024-07-24 02:41:27,1
7.8e-11,4.5e-14,4.6579744,2024-07-24 02:41:31,1
7.8e-11,5.6e-14,4.5531431,2024-07-24 02:41:36,1
7.8e-11,6.7e-14,4.3900832,2024-07-24 02:41:40,1
7.8e-11,7.8e-14,4.5766079,2024-07-24 02:41:45,1
7.8e-11,8.9e-14,4.3968962,2024-07-24 02:41:49,1
7.8e-11,1e-13,4.663941,2024-07-24 02:41:54,1
8.9e-11,1e-15,5.5780882,2024-07-24 02:41:59,1
8.9e-11,1.2e-14,5.0113796,2024-07-24 02:42:04,1
8.9e-11,2.3e-14,4.3687162,2024-07-24 02:42:09,1
8.9e-11,3.4e-14,4.4503484,2024-07-24 02:42:13,1
8.9e-11,4.5e-14,4.5061668,2024-07-24 02:42:18,1
8.9e-11,5.6e-14,4.4503168,2024-07-24 02:42:22,1
8.9e-11,6.7e-14,4.4690117,2024-07-24 02:42:27,1
8.9e-11,7.8e-14,4.1915587,2024-07-24 02:42:31,1
8.9e-11,8.9e-14,4.4151655,2024-07-24 02:42:35,1
8.9e-11,1e-13,4.2406867,2024-07-24 02:42:39,1
1e-10,1e-15,4.9568408,2024-07-24 02:42:44,1
1e-10,1.2e-14,5.6073396,2024-07-24 02:42:50,1
1e-10,2.3e-14,4.286004,2024-07-24 02:42:54,1
1e-10,3.4e-14,4.497615,2024-07-24 02:42:59,1
1e-10,4.5e-14,4.9417889,2024-07-24 02:43:04,1
1e-10,5.6e-14,4.5834164,2024-07-24 02:43:08,1
1e-10,6.7e-14,5.105105,2024-07-24 02:43:13,1
1e-10,7.8e-14,4.6425577,2024-07-24 02:43:18,1
1e-10,8.9e-14,4.6931215,2024-07-24 02:43:23,1
1e-10,1e-13,4.7700112,2024-07-24 02:43:28,1
