KP,DP,time,completion,yes
3.4e-09,8.9e-15,6.6247787,2024-07-15 14:31:11,1
3.4e-09,1e-14,6.7227527,2024-07-15 14:31:17,1
4.5e-09,1e-16,6.6540475,2024-07-15 14:31:24,1
4.5e-09,1.2e-15,6.5364809,2024-07-15 14:31:30,1
4.5e-09,2.3e-15,6.5263372,2024-07-15 14:31:37,1
4.5e-09,3.4e-15,6.6225622,2024-07-15 14:31:44,1
4.5e-09,4.5e-15,6.5646429,2024-07-15 14:31:50,1
4.5e-09,5.6e-15,6.4757668,2024-07-15 14:31:57,1
4.5e-09,6.7e-15,6.6886799,2024-07-15 14:32:03,1
4.5e-09,7.8e-15,6.5707407,2024-07-15 14:32:10,1
4.5e-09,8.9e-15,6.5246414,2024-07-15 14:32:16,1
4.5e-09,1e-14,6.4921317,2024-07-15 14:32:23,1
5.6e-09,1e-16,7.6694966,2024-07-15 14:32:31,1
5.6e-09,1.2e-15,7.3331917,2024-07-15 14:32:38,1
5.6e-09,2.3e-15,7.4683752,2024-07-15 14:32:45,1
5.6e-09,3.4e-15,7.4630129,2024-07-15 14:32:53,1
5.6e-09,4.5e-15,7.49821,2024-07-15 14:33:00,1
5.6e-09,5.6e-15,7.4556245,2024-07-15 14:33:08,1
5.6e-09,6.7e-15,7.5531572,2024-07-15 14:33:15,1
5.6e-09,7.8e-15,8.6445312,2024-07-15 14:33:24,1
5.6e-09,8.9e-15,8.8314231,2024-07-15 14:33:33,1
5.6e-09,1e-14,8.6552942,2024-07-15 14:33:42,1
6.7e-09,1e-16,7.8731022,2024-07-15 14:33:49,1
6.7e-09,1.2e-15,7.872327,2024-07-15 14:33:57,1
6.7e-09,2.3e-15,7.8570909,2024-07-15 14:34:05,1
6.7e-09,3.4e-15,7.8089838,2024-07-15 14:34:13,1
6.7e-09,4.5e-15,8.0051091,2024-07-15 14:34:21,1
6.7e-09,5.6e-15,7.8642158,2024-07-15 14:34:29,1
6.7e-09,6.7e-15,7.8720888,2024-07-15 14:34:37,1
6.7e-09,7.8e-15,8.0380381,2024-07-15 14:34:45,1
6.7e-09,8.9e-15,7.8815138,2024-07-15 14:34:53,1
6.7e-09,1e-14,8.023942,2024-07-15 14:35:01,1
7.8e-09,1e-16,7.8085015,2024-07-15 14:35:08,1
7.8e-09,1.2e-15,7.2299647,2024-07-15 14:35:16,1
7.8e-09,2.3e-15,7.7616516,2024-07-15 14:35:23,1
7.8e-09,3.4e-15,7.5097722,2024-07-15 14:35:31,1
7.8e-09,4.5e-15,7.5610657,2024-07-15 14:35:39,1
7.8e-09,5.6e-15,7.7480328,2024-07-15 14:35:46,1
7.8e-09,6.7e-15,7.6486668,2024-07-15 14:35:54,1
7.8e-09,7.8e-15,7.5435375,2024-07-15 14:36:01,1
7.8e-09,8.9e-15,7.6038158,2024-07-15 14:36:09,1
7.8e-09,1e-14,7.4615707,2024-07-15 14:36:17,1
8.9e-09,1e-16,7.7917337,2024-07-15 14:36:24,1
8.9e-09,1.2e-15,7.4324546,2024-07-15 14:36:32,1
8.9e-09,2.3e-15,7.4602449,2024-07-15 14:36:39,1
8.9e-09,3.4e-15,7.4157181,2024-07-15 14:36:47,1
8.9e-09,4.5e-15,7.6396061,2024-07-15 14:36:54,1
8.9e-09,5.6e-15,7.5471701,2024-07-15 14:37:02,1
8.9e-09,6.7e-15,7.431842,2024-07-15 14:37:09,1
8.9e-09,7.8e-15,7.4009221,2024-07-15 14:37:17,1
8.9e-09,8.9e-15,7.4159836,2024-07-15 14:37:24,1
8.9e-09,1e-14,7.5433746,2024-07-15 14:37:32,1
1e-08,1e-16,7.7521884,2024-07-15 14:37:39,1
1e-08,1.2e-15,7.6741806,2024-07-15 14:37:47,1
1e-08,2.3e-15,7.8028886,2024-07-15 14:37:55,1
1e-08,3.4e-15,7.7156456,2024-07-15 14:38:03,1
1e-08,4.5e-15,7.7625558,2024-07-15 14:38:10,1
1e-08,5.6e-15,7.6704745,2024-07-15 14:38:18,1
1e-08,6.7e-15,7.7088524,2024-07-15 14:38:26,1
1e-08,7.8e-15,7.6600908,2024-07-15 14:38:33,1
1e-08,8.9e-15,7.7964262,2024-07-15 14:38:41,1
1e-08,1e-14,7.8015405,2024-07-15 14:38:49,1
